Country,City,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate
Spain,Seville,Universidad de Sevilla,Computer Engineering,Master,2,3000,65.4,750,80,750,0.92
Italy,Bologna,University of Bologna,Information Systems,PhD,4,3600,70.5,950,120,700,0.92
France,Marseille,Aix-Marseille University,Artificial Intelligence,Master,2,4100,73.5,1100,99,850,0.92
Malaysia,Cyberjaya,Multimedia University,Data Analytics,Bachelor,3,7800,53.2,450,120,400,4.65
Saudi Arabia,Dammam,Imam Abdulrahman University,Computer Science,Master,2,4600,67.8,680,200,800,3.75
USA,New York,Columbia University,Data Science,Master,2,62000,100,2500,160,1500,1.00
UK,Manchester,University of Manchester,Software Engineering,PhD,4,35000,65.4,900,485,800,0.79
Spain,Granada,Universidad de Granada,Computer Science,Bachelor,3,2800,64.5,700,80,750,0.92
Italy,Florence,University of Florence,Data Engineering,Master,2,3500,71.2,1000,120,700,0.92
France,Bordeaux,University of Bordeaux,Information Systems,PhD,4,4300,72.1,1000,99,850,0.92
Malaysia,Bangi,UKM,Artificial Intelligence,Master,2,7200,51.5,420,120,400,4.65
Saudi Arabia,Taif,Taif University,Software Development,Master,2,4400,64.5,600,200,800,3.75
USA,Los Angeles,UCLA,Computer Engineering,PhD,5,52000,79.8,2200,160,1500,1.00
UK,Bristol,University of Bristol,Data Analytics,Master,2,36000,68.9,1200,485,800,0.79
Spain,Bilbao,University of the Basque Country,Information Technology,Master,2,3400,67.8,850,80,750,0.92
Italy,Naples,University of Naples,Computer Science,Bachelor,3,3200,67.8,800,120,700,0.92
France,Nice,University of Nice,Data Science,Master,2,4100,76.5,1300,99,850,0.92
Malaysia,Melaka,UTeM,Software Engineering,PhD,4,7500,50.2,400,120,400,4.65
Saudi Arabia,Tabuk,University of Tabuk,Computer Engineering,Bachelor,4,4100,63.2,580,200,800,3.75
USA,Chicago,University of Chicago,Artificial Intelligence,Master,2,58000,84.1,1900,160,1500,1.00
UK,Glasgow,University of Glasgow,Data Engineering,PhD,4,34000,64.5,950,485,800,0.79
Spain,Salamanca,University of Salamanca,Information Systems,Master,2,3100,62.1,600,80,750,0.92
Italy,Pisa,University of Pisa,Software Development,Master,2,3300,68.9,850,120,700,0.92
France,Lille,University of Lille,Computer Science,Bachelor,3,4200,69.8,950,99,850,0.92
Malaysia,Shah Alam,UiTM,Data Analytics,Master,2,7100,51.8,430,120,400,4.65
Saudi Arabia,Makkah,Umm Al-Qura University,Information Technology,PhD,4,4300,65.8,650,200,800,3.75
USA,San Francisco,Stanford University,Data Science,Master,2,55000,95.2,2400,160,1500,1.00
UK,Leeds,University of Leeds,Computer Engineering,Master,2,35000,63.2,900,485,800,0.79
Spain,Zaragoza,University of Zaragoza,Artificial Intelligence,PhD,4,2900,63.2,650,80,750,0.92
Italy,Padua,University of Padua,Software Engineering,Master,2,3400,69.5,900,120,700,0.92
France,Strasbourg,University of Strasbourg,Data Analytics,Master,2,4000,70.2,1000,99,850,0.92
Malaysia,Nilai,USIM,Computer Science,Bachelor,3,6800,50.5,400,120,400,4.65
Saudi Arabia,Al-Ahsa,King Faisal University,Information Systems,Master,2,4200,64.2,600,200,800,3.75
USA,Seattle,University of Washington,Software Development,PhD,5,50000,77.8,2000,160,1500,1.00
UK,Nottingham,University of Nottingham,Data Engineering,Master,2,34000,61.2,800,485,800,0.79
